title,album,release_year,lyrics
Негативное мышление,Висхолдинг,2025,Мне вроде бы как всё равно На тебя уже очень давно Но за столиком в местном кафе Ты сидела как будто в кино Я сам виноват что пришел сюда на отходах Пить сухое вино Я вообще даже толком не знал Что ты в городе дней уже сто Я попал в поле зрения твоего взгляда Понял по глазам что подходить не надо Ты была не одна А у меня до сих пор отхода Но внутри както странно При виде тебя начиналась война Во всех странах где ты была Я пытался сбежать день ото дня Но ты меня нашла Новая игра Я еле живой Ты всё так же красива Тревога режет живот Дефицит позитива Но только знаешь Не помогает уже мне твой инструмент Тот что ты мне дала Когда торчала одна Может быть промеж нас эта искра Пробежит второй раз Электричества Любви колючая проволока Души не чаю я в ней тронула та Косичек длина Меня И глаза её цвета весны Сны Полета мечты высота И взгляда даль Глубина пустоты Вынимайте бобину кина не будет Красные вина в белой посуде Видно пора нам А ведь была Идеальная пара в те времена Выдыхаю тебя как Пар кипяток Ты сладкая тяга как арома вог Мы разошлись будто шов как итог Ведь любовь разделили двенадцать шагов Я еле живой Ты всё так же красива Тревога режет живот Дефицит позитива Но только знаешь Не помогает уже мне твой инструмент Тот что ты мне дала Когда торчала одна Вспомнил про то как сказал в первый раз Что люблю тебя Ты улыбнулась в ответ Допиваю четвёртый бокал Мне становится лучше Я начинаю побег Зачем столько лет мы потратили на эти ссоры Мне нужен ответ Я надеюсь твой тип не жалеет О том что мертвец Я немного рад что пришел тогда в это кафе Где я не был уже пару лет Всё именно так как должно быть Ты счастлива А я шатаюсь под кайфом в обед Я накинул на плечи пальто Вновь за очками скрылся в толпе Я думал что мне всё равно Хотя по мне видно что нет Я еле живой Ты всё так же красива Тревога режет живот Дефицит позитива Но только знаешь Не помогает уже мне твой инструмент Тот что ты мне дала Когда торчала одна
Днями-ночами,Днями-ночами,2020,Почтим святое да Но часики спешат и то едва Эй моя судьба ты нас сведи случайно Но ещё хотя бы шаг хотя бы два И моё сердце засвистит как чайник Рьяно любя не знать И казалось что будет проще чем прямо так и сказать но Я в лоб так и не смог И сердце ударит стук Оно лопнет как кинескоп Она лапки тянет к луне Дай ей звёзды повесила бы замок на них В зале гасит свет и подглядывает за окнами Видна разница ты права Это правда что у соседей была зеленей трава И это правда мы в круговой поруке Ведь обратно планету не повернуть И всё с виду не случайно и моя судьба Я растворяю своё сердце тебе в чай Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами До беды по пятам не ходи не ходи И губы по губам не води не води Я пою на краю ни мою ни твою 01 ты не та ты не ты ты не ты Я другой выжидаю ходы И другой подбираю коды Умирают любимые ягоды Я не гадаю когда уже ты Когда ты умрёшь Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами
Тернии,Прощай и люби меня,2025,Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Ночь на часах Скоро рассвет В комнате пусто Выключен свет Пока за окном Дождь или снег Мне всё равно Если тебя нет Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Я озадачен тем как твоё молчание отражается от стен Загадка не решаема никем И нарушает эту тишину только одно шуршание антенн И рёв высоковольтных башен нависнувших над миром Железными костями как скелеты нефилимов И на периферии к Богу безучастной пустоты Мы сопряжение из неба и земли Твоей больной фантазии полёт Я полуфаза криосна Ты мои страсти как СофияАхамот И за собою пронесла Она С иного плана бытия Искру Огня божественного промысла Для меня Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс
Цветами радуги,Цветами радуги,2019,Привиделось как под кайфом мне Размазанный и пьяный я снова лежу на кафеле И говорю красиво но криво как каллиграфия Коль чтото не понятно то просто тогда поправь меня Будь Будь загадкою для когото О побочках всё равно прочитаю на обороте Слепота и смерть и всё равно если в Минздраве против Если песня про тебя то эта песня про наркотики Небо из ведра не льёт И бывает даже тает под ногами лёд Когда наступаю на ошибки прошлого Как можно аккуратно но не слишком осторожно Если честно Если честно мы как Читос и как Честер Если честно Если честно как Паоло и Франческа Если честно Если честно то метафор тут не счесть Отелло Дездемона Моника и всё в таком ключе Но это если честно конечно По кирпичикам по кирпичикам В кромешной темноте ты красива до неприличия Между коробок дом зажигалкою среди спичек Расшатанный как шуруп ты прости но я просто взвинчен Опять кричу на всю улицу Слова не воробей но под утро они забудутся И всё то ли прямо в лоб И мой то ли пьяный бред Через полупьяный сброд Снова выводя на свет Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Во лбу семь пядей Но я сто пудов как в первый раз и попадаюсь на плутовки Пути из неисповедимых и сто раз не проходимых Расставленных паутин И всё бросить бы только вот Я бросаю всё наугад Но выходит наоборот Время тянется как сироп Она шепчет мне Ты дурак Снова мягенький как сырок Непонятный как тессеракт Я положил себя на эту музыку Потом тебя в кровать и будто косточки в арбузе мы Настолько коварно разные Своей душою чёрной полюбил кровавокрасное я Нам надо так чтоб как под препаратами Да так чтобы таращило всеми цветами радуги Да так чтобы послаще Да так и чтобы как надо Да так чтобы реальность Нам стала бы вдруг ненадобна Татататата Не исправлюсь и поделом И не спрашивай как дела Едет башней мой Вавилон И хватая за хвост идею Иду пока не ослеп И всё так же семь дней в неделю И каждый день как семь бед Но я живоой И песенка снова льёт Электричеством в провода Громче тысячи соловьёв Но как кажется всё вода И тут каждый ждёт свой ответ Но на каждое слово да Есть две тысячи слова нет Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги
молчаливое согласие небес,mea maxima culpa,2025,Мира полотно Человек пытается понять но не дано Не заглянуть за звёзды Небо потолок И сам он бога ищет но находит только Эго Логоса Нам не завидуют умершие и то Либо терпеть либо сойти с ума Я сдерживая боль иду Там где ржаное поле Я найду по колоску тебя Новый день толкает меня в яму как Лоскутик Ощетинилась тоска Углами отупея «сверх» и «над» уже не то Я мыслю «под» идею И подпирая крест Я потакаю демонам твоим Под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес Грязный океан усталая земля Злое небо вот и вся моя семья А внутри меня бойня без конца И безумная до одури кровавая резня Но в рай обещано войти нам Когда скорбь и вечная печаль споются воедино Они почти как сёстры Но боги постепенно глохнут к людям Изза шёпота далеких звёзд И люди тоже глохнут Ни птичку ни цветочек Ни родную мать ни бога И в первую очередь Не слышу сам себя Как ни пою Я не слышу тех кто не любил меня Не слышу тех кого люблю И ни молитвы ни проклятия Не слышу И с одной стороны Выглядит как будто долгожданное спокойствие Но почему реву на весь подъезд И сползаю по стене под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес
отказываю небу,геометрия тьмы,2022,Люди не понимают друг друга люди пугают да врут А любят когда это труд и всецело невыносимо Ты мне целовала спину Туда же и наносила две тысячи ножевых А мне чудилась даже в них нежность Я никогда так не любил прежде Теперь же я своей рукой через годы по привычке За тобою повторял и наносил уже другой На тысячу ножевых больше и снова белый лист Вынашивая злобу оплодотворяя ненависть И мне на кисти давит циферблат И я может и чудовище но искренне стараюсь быть хорошим И верю знаю что всё потяну Я понял соль земли и принимаю в себе тьму И преломляю свет раз за разом И если мне приказывают звёзды я отказываю Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Тела нет у головы И если бы звезда упала бы то кто бы загадал чё Я отменил бы смерть Только смерти поебать на cancel culture И меня бросает в жар она Смерть это пространство смерть это длина и ширина А жизнь отрезки времени внутри У вечности нет времени у времени любви И это тянется за мной с начала века Плевать что нет у времени любви Важней что есть у человека а он молчит как рыба Но есть у человека коечто и это выбор Выбор полюбить выбор умереть быть или не быть Сохранить холод или погореть И садится батарейка садится у Андрейки От боли хочу плакать но я выбираю волю Мне 25 это ещё не показатель И небо хочет нам помочь я выбрал отказать ему Всё запутано и в этом есть весь я Это не о любви а для любви песня Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю я отказываю Я отказываю я отказываю Я отказываю
Легенда о Богине Гроз,Легенда о Богине Гроз,2021,Зуб даю вы б дали диву Легенда не проста а La Commedia Divina И тут ещё поди вопрос Как влюбилась безответно в Океан Богиня Гроз И память как стена Не забыть как не отмыть пятна вина История одна что достойна была всецело кина она Себе возжелала в руки сердце Океана а Окинава дрогнет грозовые облака её Тянутся по морю как резина и пока не лёг На воду огонь разверзнутся небеса Грянет гром и воспылают небесные телеса Так скажем прямо Богиня Гроз явилась и потребовала сердце Океана Но сердце Океана у другой Отвергнутая морем её горе её слёзы её боль её воля и любовь И всяко нам известно Как безумие свойственно всем богам прикоснувшимся к любви Но это ли их есть вина Любовь божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна Её тайна запечатана в конвертик Она тронулась умом в разы похлеще Бога Смерти Как обиду бы унять И её громогласный крик Был таков что та едва не потопила материк И размышляя в одночасье Коль не светит Океан тогда хотя бы его часть Она решила получить любой ценой Отделила от себя обиду ненависть и боль И смешав с его морскою пеной чтобы все они Вместе превратились в каплю проклятого семени И срываясь в пляс она в омерзительном грехе Оплодотворит себя сама Но всему предшествует печаль и тьмы партеногенез В её божественном начале ледяная колыбель это кров Для рождённого из проклятой утробы Без души Дитя Ветров без души Дитя Ветров И подле колыбели Возвела Богиня ледяную цитадель и Какая боль её родитель Как ни хотела не смогла свою химеру полюбить и заперла во льдах А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна
её влюбленные глаза,mea maxima culpa,2025,Была потерянаобретена Она Совершится оборот веретена Мы на груди несём печаль как носим ордена Твои влюблённые глаза на мне как оси ординат Связало твердо по рукам Меня Я на полу лежу как перевернутый аркан Меняя коннотации словам Играя с коммутацией идей Дарю мутации богам Её влюбленные глаза как первитин Зрительный контакт это Язык двоих другими не переводим Эти глаза как Deus vult Волшебные как ГриндеВальд Эти глаза костры Как инквизиции патруль Её влюблённые глаза Парят передо мной как стрекоза Маня Её Влюблённые глаза Таки цепляют как за острие коса Меня Её Влюблённые глаза Трогают всегда но без каса Ния Её Влюбленные глаза Как истинная виноградная лоза Моя Её Восполыхнула жажда плоти Глаза опаснее мечей и могут уколоть Их ни парировать не отвести Долгие годы Я чувствую могущественный взор из каждой ноты Из любого запаха Всякого вкуса К ряду Глаза её кивают из каждого цвета радуги; Они везде они всегда со мной И я в моменте Имманентен И с ума схожу по экспоненте И вырвать хочется это звоночек Мне по очереди себе каждый позвоночек Из косточек чтоб чётки собрали Я позарю на кусочек себя Ради животворного розария А её влюблённые глаза Неожиданно но острые как ножик мясника И у меня всегда Под рясой Висит на золотой цепи тобой нанизанное моё мясо Её влюблённые глаза Парят передо мной как стрекоза Маня Её Влюблённые глаза Таки цепляют как за острие коса Меня Её Влюблённые глаза Трогают всегда но без каса Ния Её Влюбленные глаза Как истинная виноградная лоза Моя Её
Некуда бежать,ВЫБЕРИ ЖИЗНЬ,2021,И нам с тобой некуда бежать Мы два патрона с одного ружья И нам с тобой некуда бежать Мы капли крови с одного ножа И нам с тобой некуда бежать Всё что было до никому не жаль И нам с тобой некуда бежать Я взвёл курок не забудь нажать Пообещай что убьёшь меня Пообещай никогда не врать Твоим глазам так идёт Луна Луна Она все слёзы вернула вспять Все мои стихи угловатый крик Что застрял внутри примитивных слов Не хватает всех ведь один твой смех Станет пищей для моих сладких снов И нам с тобой некуда бежать Мы два патрона с одного ружья И нам с тобой некуда бежать Мы капли крови с одного ножа И нам с тобой некуда бежать Всё что было до никому не жаль И нам с тобой некуда бежать Я взвёл курок не забудь нажать Загони меня туда куда обычно не залезть Ведь я так хочу придумать себе новую болезнь Ведь я так хочу заставить себя всё это терпеть Либо выйти из себя либо укутаться в себе Загони меня туда куда обычно не залезть Ведь я так хочу придумать себе новую болезнь Ведь я так хочу заставить себя всё это терпеть Либо выйти из себя либо укутаться в себе Рвущийся миокард я снова сожгу мосты Запрыгну в Mario Kart и мир как теннисный корт Вернётся каждый аккорд И тот у кого нет фишек теряет всю силу карт Хоть покер и не таро как мир это всё старо Я ты да мы ты да мы но не принявшие сторон И каждый раз в новой драке пули бы не растратить Раньше тебя любил теперь в общемто мне насрать так что я жму курок И нам с тобой некуда бежать Мы два патрона с одного ружья И нам с тобой некуда бежать Мы капли крови с одного ножа И нам с тобой некуда бежать Всё что было до никому не жаль И нам с тобой некуда бежать Я взвёл курок не забудь нажaть
моя великая вина,mea maxima culpa,2025,Всё суета сует и возня Бог покинул человечество только изза меня Я виновен в смерти Христа И виноват за этот ад За Хиросиму И за 9/11 виноват Я виновен за Жанну Дарк За каждый чумной бубон Я виновен за пожар в шестьсот шестьдесят шестом За каждый голодный год за каждый пустой карман увы Виновен за ГУЛАГ виновен за расстрел Романовых И там Как труба Иерихона Воздушная сирена И моя вина что время для дракона И что у дна видна Бедна и не свята наша судьба Но чушь собачья коллективная вина Я виноват один за всех это максима миа кульпа Тело бренное парализовано как инсультом На меня небо падает не на что опираться Наши крылья вырастут да но не оперятся Они не оперятся Никогда Теперь и нам На своей спине как Саре Керриган Крылья без перьев Как грузные грозди Для полёта нести непригодные кости Всё суета сует и возня Бог покинул человечество только изза меня Я виновен в смерти Христа И виноват за этот ад За Хиросиму И за 9/11 виноват Я виновен как повело За текстуру и светотень Виновен за Вавилон виновен за Тяньаньмэнь Виновен за Пивной путч Виновен за Карфаген Виновен за всё на свете но только вот перед кем Всё суета сует и возня Бог покинул человечество только изза меня Я виновен в смерти Христа И виноват за этот ад За Хиросиму И за 9/11 виноват Я виновен как повело За текстуру и светотень Виновен за Вавилон виновен за Тяньаньмэнь Виновен за Пивной путч Виновен за Карфаген Виновен за всё на свете но только вот перед кем Повторятся вновь одни года Будто крест нести и не найти Голгофу никогда Ни смерти ни искупленья как спину себе ни горби Что может быть хуже чем бесконечная Тропа Скорби И ты просто сука топчешься С тяжеленой палкой На спине Её бы выкинуть но жалко мне И ежели вечна Агония Христа нельзя спать Я понимаю Но врастаю намертво в кровать И мне снится что я стигматы И гвозди из них торчащие я И что я диктатора руки кровоточащие Я колотая рана под рёбрами Его сына; Терновый венок пустыни песок я копьё Лонгина Балаган один И ничего как будто не меняется Время идёт но Деус экс макина не появится Мы лёд Который солнце покинуло навсегда Над Иерусалимом висит вечная луна И грядёт великая скорбь Его великая скорбь Для нас великая скорбь Бесконечная вина И вечная печаль Всё суета сует и возня Бог покинул человечество только изза меня Я виновен в смерти Христа И виноват за этот ад За Хиросиму И за 9/11 виноват Я виновен как повело За текстуру и светотень Виновен за Вавилон виновен за Тяньаньмэнь Виновен за Пивной путч Виновен за Карфаген Виновен за всё на свете но только вот перед кем Всё суета сует и возня Бог покинул человечество только изза меня Я виновен в смерти Христа И виноват за этот ад За Хиросиму И за 9/11 виноват Я виновен как повело За текстуру и светотень Виновен за Вавилон виновен за Тяньаньмэнь Виновен за Пивной путч Виновен за Карфаген Виновен за всё на свете но только вот перед кем
