title,album,release_year,lyrics,lemmatized_lyrics,cluster
Негативное мышление,Висхолдинг,2025,Мне вроде бы как всё равно На тебя уже очень давно Но за столиком в местном кафе Ты сидела как будто в кино Я сам виноват что пришел сюда на отходах Пить сухое вино Я вообще даже толком не знал Что ты в городе дней уже сто Я попал в поле зрения твоего взгляда Понял по глазам что подходить не надо Ты была не одна А у меня до сих пор отхода Но внутри както странно При виде тебя начиналась война Во всех странах где ты была Я пытался сбежать день ото дня Но ты меня нашла Новая игра Я еле живой Ты всё так же красива Тревога режет живот Дефицит позитива Но только знаешь Не помогает уже мне твой инструмент Тот что ты мне дала Когда торчала одна Может быть промеж нас эта искра Пробежит второй раз Электричества Любви колючая проволока Души не чаю я в ней тронула та Косичек длина Меня И глаза её цвета весны Сны Полета мечты высота И взгляда даль Глубина пустоты Вынимайте бобину кина не будет Красные вина в белой посуде Видно пора нам А ведь была Идеальная пара в те времена Выдыхаю тебя как Пар кипяток Ты сладкая тяга как арома вог Мы разошлись будто шов как итог Ведь любовь разделили двенадцать шагов Я еле живой Ты всё так же красива Тревога режет живот Дефицит позитива Но только знаешь Не помогает уже мне твой инструмент Тот что ты мне дала Когда торчала одна Вспомнил про то как сказал в первый раз Что люблю тебя Ты улыбнулась в ответ Допиваю четвёртый бокал Мне становится лучше Я начинаю побег Зачем столько лет мы потратили на эти ссоры Мне нужен ответ Я надеюсь твой тип не жалеет О том что мертвец Я немного рад что пришел тогда в это кафе Где я не был уже пару лет Всё именно так как должно быть Ты счастлива А я шатаюсь под кайфом в обед Я накинул на плечи пальто Вновь за очками скрылся в толпе Я думал что мне всё равно Хотя по мне видно что нет Я еле живой Ты всё так же красива Тревога режет живот Дефицит позитива Но только знаешь Не помогает уже мне твой инструмент Тот что ты мне дала Когда торчала одна,вроде всё равно очень давно столик местный кафе сидеть кино виноватый прийти сюда отход пить сухой вино вообще толком знать город день сто попасть поле зрение твой взгляд понять глаз подходить один сей пора отход внутри както странно вид начинаться война страна пытаться сбежать день от день найти новый игра еле живой всё красивый тревога резать живот дефицит позитив знать помогать твой инструмент дать торчать один промеж этот искра пробежать второй электричество любовь колючий проволока душа чай тронуть тот косичка длина глаз её цвет весна сон полёт мечта высота взгляд даль глубина пустота вынимать бобина кино красный вино белый посуда видно пора мы идеальный пара тот время выдыхать пара кипяток сладкий тяга аром вог разойтись шов итог любовь разделить двенадцать шаг еле живой всё красивый тревога резать живот дефицит позитив знать помогать твой инструмент дать торчать один вспомнить сказать первый любить улыбнуться ответ допивать четвёртый бокал становиться начинать побег столько год потратить ссора нужный ответ надеяться твой тип жалеть мертвец немного рад прийти это кафе пара год всё именно должный счастливый шататься кайф обед накинуть плечо пальто вновь очки скрыться толпа думать всё равно хотя видно еле живой всё красивый тревога резать живот дефицит позитив знать помогать твой инструмент дать торчать один,0
Днями-ночами,Днями-ночами,2020,Почтим святое да Но часики спешат и то едва Эй моя судьба ты нас сведи случайно Но ещё хотя бы шаг хотя бы два И моё сердце засвистит как чайник Рьяно любя не знать И казалось что будет проще чем прямо так и сказать но Я в лоб так и не смог И сердце ударит стук Оно лопнет как кинескоп Она лапки тянет к луне Дай ей звёзды повесила бы замок на них В зале гасит свет и подглядывает за окнами Видна разница ты права Это правда что у соседей была зеленей трава И это правда мы в круговой поруке Ведь обратно планету не повернуть И всё с виду не случайно и моя судьба Я растворяю своё сердце тебе в чай Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами До беды по пятам не ходи не ходи И губы по губам не води не води Я пою на краю ни мою ни твою 01 ты не та ты не ты ты не ты Я другой выжидаю ходы И другой подбираю коды Умирают любимые ягоды Я не гадаю когда уже ты Когда ты умрёшь Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами Люби меня дняминочами Окутаны тенями печали Будто бы мы в самом начале Дняминочами дняминочами,почтить святой часики спешить едва эй судьба свести случайно ещё хотя шаг хотя мой сердце засвистеть чайник рьяно любя знать казаться простой прямо сказать лоб смочь сердце ударить стук оно лопнуть кинескоп лапка тянуть луна дать звезда повесить замок зал гасить свет подглядывать окно видный разница право это правда сосед зелень трава это правда круговой порука обратно планета повернуть всё вид случайно судьба растворять свой сердце ты чай любить дняминочь окутать тень печаль сам начало дняминочь дняминочь любить дняминочь окутать тень печаль сам начало дняминочь дняминочь любить дняминочь окутать тень печаль сам начало дняминочь дняминочь любить дняминочь окутать тень печаль сам начало дняминочь дняминочь беда пята ходить ходить губа губа водить водить поить край мой твой тот выжидать ход подбирать код умирать любимый ягода гадать умереть любить дняминочь окутать тень печаль сам начало дняминочь дняминочь любить дняминочь окутать тень печаль сам начало дняминочь дняминочь любить дняминочь окутать тень печаль сам начало дняминочь дняминочь любить дняминочь окутать тень печаль сам начало дняминочь дняминочь,3
Тернии,Прощай и люби меня,2025,Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Ночь на часах Скоро рассвет В комнате пусто Выключен свет Пока за окном Дождь или снег Мне всё равно Если тебя нет Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Я озадачен тем как твоё молчание отражается от стен Загадка не решаема никем И нарушает эту тишину только одно шуршание антенн И рёв высоковольтных башен нависнувших над миром Железными костями как скелеты нефилимов И на периферии к Богу безучастной пустоты Мы сопряжение из неба и земли Твоей больной фантазии полёт Я полуфаза криосна Ты мои страсти как СофияАхамот И за собою пронесла Она С иного плана бытия Искру Огня божественного промысла Для меня Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс Сквозь тернии к звёздам До Луны и обратно Минуя сотни неизвестных галактик Борозжу океаны в твоих сновидениях Сгораю дотла и восстаю словно феникс,сквозь терние звезда луна обратно миновать сотня неизвестный галактика бороздить океан твой сновидение сгорать дотла восставать словно феникс сквозь терние звезда луна обратно миновать сотня неизвестный галактика бороздить океан твой сновидение сгорать дотла восставать словно феникс ночь часы скоро рассвет комната пусто выключить свет пока окно дождь снег всё равно сквозь терние звезда луна обратно миновать сотня неизвестный галактика бороздить океан твой сновидение сгорать дотла восставать словно феникс сквозь терние звезда луна обратно миновать сотня неизвестный галактика бороздить океан твой сновидение сгорать дотла восставать словно феникс озадачить твой молчание отражаться стена загадка решать никто нарушать тишина один шуршание антенна рёв высоковольтный башня нависнуть мир железный кость скелет нефилим периферия бог безучастный пустота сопряжение небо земля твой больной фантазия полёт полуфаза криосон мой страсть софияахамота себя пронести иной план бытие искра огонь божественный промысл сквозь терние звезда луна обратно миновать сотня неизвестный галактика бороздить океан твой сновидение сгорать дотла восставать словно феникс сквозь терние звезда луна обратно миновать сотня неизвестный галактика бороздить океан твой сновидение сгорать дотла восставать словно феникс,6
Цветами радуги,Цветами радуги,2019,Привиделось как под кайфом мне Размазанный и пьяный я снова лежу на кафеле И говорю красиво но криво как каллиграфия Коль чтото не понятно то просто тогда поправь меня Будь Будь загадкою для когото О побочках всё равно прочитаю на обороте Слепота и смерть и всё равно если в Минздраве против Если песня про тебя то эта песня про наркотики Небо из ведра не льёт И бывает даже тает под ногами лёд Когда наступаю на ошибки прошлого Как можно аккуратно но не слишком осторожно Если честно Если честно мы как Читос и как Честер Если честно Если честно как Паоло и Франческа Если честно Если честно то метафор тут не счесть Отелло Дездемона Моника и всё в таком ключе Но это если честно конечно По кирпичикам по кирпичикам В кромешной темноте ты красива до неприличия Между коробок дом зажигалкою среди спичек Расшатанный как шуруп ты прости но я просто взвинчен Опять кричу на всю улицу Слова не воробей но под утро они забудутся И всё то ли прямо в лоб И мой то ли пьяный бред Через полупьяный сброд Снова выводя на свет Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Во лбу семь пядей Но я сто пудов как в первый раз и попадаюсь на плутовки Пути из неисповедимых и сто раз не проходимых Расставленных паутин И всё бросить бы только вот Я бросаю всё наугад Но выходит наоборот Время тянется как сироп Она шепчет мне Ты дурак Снова мягенький как сырок Непонятный как тессеракт Я положил себя на эту музыку Потом тебя в кровать и будто косточки в арбузе мы Настолько коварно разные Своей душою чёрной полюбил кровавокрасное я Нам надо так чтоб как под препаратами Да так чтобы таращило всеми цветами радуги Да так чтобы послаще Да так и чтобы как надо Да так чтобы реальность Нам стала бы вдруг ненадобна Татататата Не исправлюсь и поделом И не спрашивай как дела Едет башней мой Вавилон И хватая за хвост идею Иду пока не ослеп И всё так же семь дней в неделю И каждый день как семь бед Но я живоой И песенка снова льёт Электричеством в провода Громче тысячи соловьёв Но как кажется всё вода И тут каждый ждёт свой ответ Но на каждое слово да Есть две тысячи слова нет Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги Ооо Да пропади всё пропадью Ооо Не проводи мне проповедь Ведь Пускай вредно но мы всё же рады Оно не важно важно чтоб таращило цветами радуги,привидеться кайф размазать пьяный снова лежать кафель говорить красиво кривой каллиграфия коль чтоть понятно просто поправить быть быть загадка коготь побочка всё равно прочитать оборот слепота смерть всё равно минздрав против песня этот песня наркотик небо ведро лить бывать таять нога лёд наступать ошибка прошлое аккуратно слишком осторожно честно честно читос честер честно честно паоло франческа честно честно метафора счесть отелло дездемона моника всё такой ключ это честно кирпичик кирпичик кромешный темнота красивый неприличие коробка дом зажигалка среди спичка расшатать шуруп простить просто взвинтить кричать улица слово воробей утро забыться всё прямо лоб пьяный бред полупьяный сброд снова выводить свет ооо пропасть всё пропадь ооо проводить проповедь пускай вредный всё рада оно важно важно таращить цвета радуга ооо пропасть всё пропадь ооо проводить проповедь пускай вредный всё рада оно важно важно таращить цвета радуга лоб семь пядь сто пуд первый попадаться плутовка путь неисповедимый сто проходимый расставить паутина всё бросить бросать всё наугад выходить наоборот время тянуться сироп шептать дурак снова мягенький сырок непонятный тессеракт положить музыка кровать косточка арбуз настолько коварно разный свой душа чёрный полюбить кровавокрасный мы препарат таращить весь цвета радуга сладкий реальность мы стать ненадобный татататат исправиться поделом спрашивать дело ехать башня вавилон хватать хвост идея идти пока ослепнуть всё семь день неделя каждый день семь беда живоий песенка снова лить электричество провод громкий тысяча соловей казаться всё вода каждый ждать свой ответ каждый слово два тысяча слово ооо пропасть всё пропадь ооо проводить проповедь пускай вредный всё рада оно важно важно таращить цвета радуга ооо пропасть всё пропадь ооо проводить проповедь пускай вредный всё рада оно важно важно таращить цвета радуга ооо пропасть всё пропадь ооо проводить проповедь пускай вредный всё рада оно важно важно таращить цвета радуга ооо пропасть всё пропадь ооо проводить проповедь пускай вредный всё рада оно важно важно таращить цвета радуга,6
молчаливое согласие небес,mea maxima culpa,2025,Мира полотно Человек пытается понять но не дано Не заглянуть за звёзды Небо потолок И сам он бога ищет но находит только Эго Логоса Нам не завидуют умершие и то Либо терпеть либо сойти с ума Я сдерживая боль иду Там где ржаное поле Я найду по колоску тебя Новый день толкает меня в яму как Лоскутик Ощетинилась тоска Углами отупея «сверх» и «над» уже не то Я мыслю «под» идею И подпирая крест Я потакаю демонам твоим Под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес Грязный океан усталая земля Злое небо вот и вся моя семья А внутри меня бойня без конца И безумная до одури кровавая резня Но в рай обещано войти нам Когда скорбь и вечная печаль споются воедино Они почти как сёстры Но боги постепенно глохнут к людям Изза шёпота далеких звёзд И люди тоже глохнут Ни птичку ни цветочек Ни родную мать ни бога И в первую очередь Не слышу сам себя Как ни пою Я не слышу тех кто не любил меня Не слышу тех кого люблю И ни молитвы ни проклятия Не слышу И с одной стороны Выглядит как будто долгожданное спокойствие Но почему реву на весь подъезд И сползаю по стене под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес Свет уходит пропадая за лесом Облака как дымовая завеса Не бросай меня Но на отрез Ты отказывала мне Под молчаливое согласие небес,мир полотно человек пытаться понять дать заглянуть звезда небо потолок бог искать находить эго логос мы завидовать умерший либо терпеть либо сойти ум сдерживать боль идти ржаной поле найти колосок новый день толкать яма лоскутик ощетиниться тоска угол отупеть сверх мыслить идея подпирать крест потакать демон твой молчаливый согласие небо свет уходить пропадать лес облако дымовой завеса бросать отрез отказывать молчаливый согласие небо свет уходить пропадать лес облако дымовой завеса бросать отрез отказывать молчаливый согласие небо грязный океан усталый земля злой небо весь семья внутри бойня конец безумный одурь кровавый резня рай обещать войти мы скорбь вечный печаль спеться воедино сестра бог постепенно глохнуть человек изз шёпот далёкий звезда человек глохнуть птичка цветочек родный мать бог первый очередь слышать поить слышать тот любить слышать тот кто любить молитва проклятие слышать один сторона выглядеть долгожданный спокойствие почему реветь весь подъезд сползать стена молчаливый согласие небо свет уходить пропадать лес облако дымовой завеса бросать отрез отказывать молчаливый согласие небо свет уходить пропадать лес облако дымовой завеса бросать отрез отказывать молчаливый согласие небо,8
отказываю небу,геометрия тьмы,2022,Люди не понимают друг друга люди пугают да врут А любят когда это труд и всецело невыносимо Ты мне целовала спину Туда же и наносила две тысячи ножевых А мне чудилась даже в них нежность Я никогда так не любил прежде Теперь же я своей рукой через годы по привычке За тобою повторял и наносил уже другой На тысячу ножевых больше и снова белый лист Вынашивая злобу оплодотворяя ненависть И мне на кисти давит циферблат И я может и чудовище но искренне стараюсь быть хорошим И верю знаю что всё потяну Я понял соль земли и принимаю в себе тьму И преломляю свет раз за разом И если мне приказывают звёзды я отказываю Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Тела нет у головы И если бы звезда упала бы то кто бы загадал чё Я отменил бы смерть Только смерти поебать на cancel culture И меня бросает в жар она Смерть это пространство смерть это длина и ширина А жизнь отрезки времени внутри У вечности нет времени у времени любви И это тянется за мной с начала века Плевать что нет у времени любви Важней что есть у человека а он молчит как рыба Но есть у человека коечто и это выбор Выбор полюбить выбор умереть быть или не быть Сохранить холод или погореть И садится батарейка садится у Андрейки От боли хочу плакать но я выбираю волю Мне 25 это ещё не показатель И небо хочет нам помочь я выбрал отказать ему Всё запутано и в этом есть весь я Это не о любви а для любви песня Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю небу Я отказываю солнцу и луне солнцу и луне Я отказываю я отказываю Я отказываю я отказываю Я отказываю,человек понимать друг друг человек пугать врать любить это труд всецело невыносимый целовать спина туда наносить два тысяча ножевой чудиться нежность любить прежде свой рука год привычка ты повторять наносить тысяча ножевой снова белый лист вынашивать злоба оплодотворять ненависть кисть давить циферблат чудовище искренне стараться хороший верить знать всё потянуть понять соль земля принимать тьма преломлять свет разом приказывать звезда отказывать отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна тело голова звезда упасть загадать что отменить смерть смерть поебать cancel culture бросать жар смерть это пространство смерть это длина ширина жизнь отрезок время внутри вечность время время любовь это тянуться я начало век плевать время любовь важный человек молчать рыба человек коечто это выбор выбор полюбить выбор умереть сохранить холод погореть садиться батарейка садиться андрейка боль хотеть плакать выбирать воля это ещё показатель небо хотеть мы помочь выбрать отказать всё запутать весь это любовь любовь песня отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать небо отказывать солнце луна солнце луна отказывать отказывать отказывать отказывать отказывать,8
Легенда о Богине Гроз,Легенда о Богине Гроз,2021,Зуб даю вы б дали диву Легенда не проста а La Commedia Divina И тут ещё поди вопрос Как влюбилась безответно в Океан Богиня Гроз И память как стена Не забыть как не отмыть пятна вина История одна что достойна была всецело кина она Себе возжелала в руки сердце Океана а Окинава дрогнет грозовые облака её Тянутся по морю как резина и пока не лёг На воду огонь разверзнутся небеса Грянет гром и воспылают небесные телеса Так скажем прямо Богиня Гроз явилась и потребовала сердце Океана Но сердце Океана у другой Отвергнутая морем её горе её слёзы её боль её воля и любовь И всяко нам известно Как безумие свойственно всем богам прикоснувшимся к любви Но это ли их есть вина Любовь божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна Её тайна запечатана в конвертик Она тронулась умом в разы похлеще Бога Смерти Как обиду бы унять И её громогласный крик Был таков что та едва не потопила материк И размышляя в одночасье Коль не светит Океан тогда хотя бы его часть Она решила получить любой ценой Отделила от себя обиду ненависть и боль И смешав с его морскою пеной чтобы все они Вместе превратились в каплю проклятого семени И срываясь в пляс она в омерзительном грехе Оплодотворит себя сама Но всему предшествует печаль и тьмы партеногенез В её божественном начале ледяная колыбель это кров Для рождённого из проклятой утробы Без души Дитя Ветров без души Дитя Ветров И подле колыбели Возвела Богиня ледяную цитадель и Какая боль её родитель Как ни хотела не смогла свою химеру полюбить и заперла во льдах А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна А ты понастоящему сама Любила ли как боги нисходящие с ума Но в этом ли их есть вина Любовь всему божественному противоестественна,зуб давать б дать див легенда простой la commedia divina ещё поди вопрос влюбиться безответно океан богиня гроза память стена забыть отмыть пятно вино история один достойный всецело кино возжелать рука сердце океан окинава дрогнуть грозовой облако её тянуться море резина пока лечь вода огонь разверзнуться небо грянуть гром воспылать небесный телеса скажем прямо богиня гроза явиться потребовать сердце океан сердце океан отвергнуть море её гора её слеза её боль её воля любовь всяко мы известно безумие свойственно весь бог прикоснуться любовь это вино любовь божественный противоестественный понастоящий сам любить бог нисходящий ум вино любовь весь божественный противоестественный понастоящий сам любить бог нисходящий ум вино любовь весь божественный противоестественный её тайна запечатать конвертик тронуться ум раз похлеще бог смерть обида унять её громогласный крик таковой тот едва потопить материк размышлять одночасье коль светить океан хотя часть решить получить любой цена отделить обида ненависть боль смешать морской пена вместе превратиться капля проклятый семя срываться пляс омерзительный грех оплодотворить сам весь предшествовать печаль тьма партеногенез её божественный начало ледяной колыбель это кров родить проклятый утроба душа дитя ветер душа дитя ветер подле колыбель возвести богиня ледяной цитадель боль её родитель хотеть смочь химера полюбить запереть лёд понастоящий сам любить бог нисходящий ум вино любовь весь божественный противоестественный понастоящий сам любить бог нисходящий ум вино любовь весь божественный противоестественный понастоящий сам любить бог нисходящий ум вино любовь весь божественный противоестественный понастоящий сам любить бог нисходящий ум вино любовь весь божественный противоестественный,3
её влюбленные глаза,mea maxima culpa,2025,Была потерянаобретена Она Совершится оборот веретена Мы на груди несём печаль как носим ордена Твои влюблённые глаза на мне как оси ординат Связало твердо по рукам Меня Я на полу лежу как перевернутый аркан Меняя коннотации словам Играя с коммутацией идей Дарю мутации богам Её влюбленные глаза как первитин Зрительный контакт это Язык двоих другими не переводим Эти глаза как Deus vult Волшебные как ГриндеВальд Эти глаза костры Как инквизиции патруль Её влюблённые глаза Парят передо мной как стрекоза Маня Её Влюблённые глаза Таки цепляют как за острие коса Меня Её Влюблённые глаза Трогают всегда но без каса Ния Её Влюбленные глаза Как истинная виноградная лоза Моя Её Восполыхнула жажда плоти Глаза опаснее мечей и могут уколоть Их ни парировать не отвести Долгие годы Я чувствую могущественный взор из каждой ноты Из любого запаха Всякого вкуса К ряду Глаза её кивают из каждого цвета радуги; Они везде они всегда со мной И я в моменте Имманентен И с ума схожу по экспоненте И вырвать хочется это звоночек Мне по очереди себе каждый позвоночек Из косточек чтоб чётки собрали Я позарю на кусочек себя Ради животворного розария А её влюблённые глаза Неожиданно но острые как ножик мясника И у меня всегда Под рясой Висит на золотой цепи тобой нанизанное моё мясо Её влюблённые глаза Парят передо мной как стрекоза Маня Её Влюблённые глаза Таки цепляют как за острие коса Меня Её Влюблённые глаза Трогают всегда но без каса Ния Её Влюбленные глаза Как истинная виноградная лоза Моя Её,потерянаобрести совершиться оборот веретено грудь нести печаль носить орден твой влюбить глаз ось ордината связать твёрдо рука пол лежать перевернуть аркан менять коннотация слово играть коммутация идея дарить мутация бог её влюбить глаз первитина зрительный контакт это язык двое другой переводить глаз deus vult волшебный гриндевальд глаз костёр инквизиция патруль её влюбить глаз парить перед я стрекоза маня её влюбить глаз таки цеплять остриё коса её влюбить глаз трогать кас ния её влюбить глаз истинный виноградный лоза её восполыхнуть жажда плоть глаз опасный меч мочь уколоть парировать отвести долгий год чувствовать могущественный взор каждый нота любой запах всякий вкус ряд глаз её кивать каждый цвет радуга везде я момент имманентный ум сходить экспонент вырвать хотеться это звоночек очередь каждый позвоночек косточка чётки собрать позарить кусочек ради животворный розария её влюбить глаз неожиданно острый ножик мясник ряса висеть золотой цепь ты нанизать мой мясо её влюбить глаз парить перед я стрекоза маня её влюбить глаз таки цеплять остриё коса её влюбить глаз трогать кас ния её влюбить глаз истинный виноградный лоза её,0
